省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,衡水市冀州市南午村镇王瓦窑,南午村镇王瓦窑村,13110001,2013/10/22 14:13,2013/7/6 0:00,中国银行,583,7988608,13702.58662
河北省,衡水市深州市穆村乡王庄村,穆村乡王庄,13110002,2013/10/22 16:53,2013/4/18 0:00,中国银行,664,11192345,16855.94127
河北省,衡水市饶阳县东里满乡固店,饶阳县东里满乡固店村,13110004,2013/10/28 14:15,2013/9/17 0:00,中国银行,552,4811015,8715.606884
河北省,衡水市饶阳县东里满乡小堤村,饶阳县东里满乡小堤村,13110005,2013/10/28 14:47,,中国银行,819,9423109,11505.6276
河北省,衡水市饶阳县东里满乡桑园,饶阳县东里满乡桑园村,13110006,2013/10/28 15:15,2013/7/14 0:00,中国银行,373,3330316,8928.461126
河北省,衡水市饶阳县五公镇北官庄村,饶阳县五公镇北官庄村,13110007,2013/10/28 15:37,2013/8/26 0:00,中国银行,390,4102681,10519.69487
河北省,衡水市饶阳县大官亭乡西张岗,饶阳县官亭镇西张岗村,13110008,2013/10/28 15:59,2013/7/17 0:00,中国银行,316,2723153,8617.572785
河北省,衡水市深州市唐奉镇赵八庄村,唐奉镇赵八庄,13110009,2013/10/28 16:57,,中国银行,1352,11113972,8220.393491
河北省,衡水市深州市太古庄乡郭庄村,高古庄镇郭庄,13110010,2013/10/28 17:18,2013/5/15 0:00,中国银行,388,3220119,8299.275773
河北省,衡水市冀州市西王镇水泊张,西王镇水泊张村,13110011,2013/10/29 9:21,2013/8/28 0:00,中国银行,257,1292484,5029.120623
河北省,衡水市冀州市门庄乡东堤北村,门庄乡东堤北村,13110012,2013/10/29 9:35,2013/6/5 0:00,中国银行,1668,25627986,15364.5
河北省,衡水市冀州市南午村镇孟岭,南午村镇孟岭村,13110014,2013/10/29 10:21,2013/8/27 0:00,中国银行,490,4448494,9078.559184
河北省,衡水市冀州市南午村镇田村,南午村镇田村,13110015,2013/10/29 10:45,2013/8/24 0:00,中国银行,463,6788425,14661.82505
河北省,衡水市冀州市西王镇西吕津,西王镇西吕津村,13110016,2013/10/29 11:01,2013/9/3 0:00,中国银行,1072,14514794,13539.91978
河北省,衡水市枣强县马屯镇吉科村,马屯镇吉科村,13110017,2013/10/29 15:24,2013/9/18 0:00,中国银行,203,183534,904.108374
河北省,衡水市饶阳县大尹村镇大迁民,饶阳县大尹村镇大迁民庄,13110018,2013/10/29 16:32,2013/9/13 0:00,中国银行,449,5651234,12586.26726
河北省,衡水市饶阳县大尹村镇南流满村,饶阳县大尹村镇南流满村,13110019,2013/10/29 16:50,,中国银行,284,965804,3400.71831
河北省,衡水市桃城区赵家圈镇前王家村,赵圈镇前王庄村,13110021,2013/10/30 10:05,,中国银行,337,4648609,13794.09199
河北省,衡水市武邑县赵桥镇夹河村,赵桥镇夹河村,13110022,2013/10/30 10:22,,中国银行,302,1777124,5884.516556
河北省,衡水市枣强县新屯乡新屯镇西岳庄,新屯镇西岳庄,13110023,2013/10/30 11:05,,中国银行,81,164459,2030.358025
河北省,衡水市枣强县马屯镇肖张镇张仓口,肖张镇张仓口,13110024,2013/10/30 11:28,2013/12/26 0:00,中国银行,101,1265932,12533.9802
河北省,衡水市枣强县嘉会镇嘉会镇马田村,嘉会镇马田村,13110025,2013/10/30 11:38,2013/10/8 0:00,中国银行,265,4177376,15763.68302
河北省,衡水市武强县街关镇郑家,武强县街关镇郑家村,13110030,2013/10/30 14:13,2014/1/23 0:00,中国银行,183,2300864,12573.02732
河北省,衡水市安平县大何庄乡长汝,大何庄乡长汝村,13110031,2013/10/30 14:44,,中国银行,569,4427993,7782.061511
河北省,衡水市安平县南王庄镇南王庄,南王庄镇南王庄村,13110032,2013/10/30 14:55,2013/11/26 0:00,中国银行,865,16800904,19423.01041
河北省,衡水市武强县豆村乡南孙庄,武强县豆村乡南孙庄村,13110033,2013/10/30 15:25,,中国银行,188,1968724,10471.93617
河北省,衡水市武强县北代乡北平都,武强县北代乡北平都村,13110034,2013/10/30 15:41,2014/1/28 0:00,中国银行,422,935656,2217.194313
河北省,衡水市武强县周家窝乡大段庄村,衡水武强县周窝镇大段庄村,13110035,2013/10/30 16:16,2014/1/24 0:00,中国银行,230,1171876,5095.113043
河北省,衡水市武强县豆村乡大杨庄村,衡水武强县豆村乡大杨庄村,13110036,2013/10/30 16:50,2014/1/26 0:00,中国银行,305,1821102,5970.82623
