"站点地址","站点名称","站点编号","站点加盟日期","银行业务签约日期","签约银行","站点卡数","站点余额","卡均余额"
"河北省衡水市冀州市南午村镇王家瓦窑村","南午村镇王瓦窑村","13110001","2013-10-22 14:13:18","2013-10-22 14:13:18","中国银行","624","9840000.00","15769.230769"
"河北省衡水市深州市穆村乡王庄村","穆村乡王庄","13110002","2013-04-18 00:00:00","2013-10-22 16:53:56","中国银行","688","11970000.00","17398.255814"
"河北省衡水市饶阳县东里满乡固店村","饶阳县东里满乡固店村","13110004","2013-10-28 14:15:20","2013-10-28 14:15:20","中国银行","574","5400000.00","9407.665505"
"河北省衡水市饶阳县东里满乡小堤村","饶阳县东里满乡小堤村","13110005","2013-10-28 14:47:30","2013-10-28 14:47:30","中国银行","884","12220000.00","13823.529412"
"河北省衡水市饶阳县东里满乡桑园村","饶阳县东里满乡桑园村","13110006","2013-10-28 15:15:47","2013-10-28 15:15:47","中国银行","403","4020000.00","9975.186104"
"河北省衡水市饶阳县五公镇北官庄村","饶阳县五公镇北官庄村","13110007","2013-10-28 15:37:12","2013-10-28 15:37:12","中国银行","453","5550000.00","12251.655629"
"河北省衡水市饶阳县大官亭乡西张岗村","饶阳县官亭镇西张岗村","13110008","2013-10-28 15:59:06","2013-10-28 15:59:06","中国银行","328","2570000.00","7835.365854"
"河北省衡水市深州市唐奉镇赵八庄村","唐奉镇赵八庄","13110009","2013-10-28 16:57:52","2013-10-28 16:57:52","中国银行","1440","11660000.00","8097.222222"
"河北省衡水市深州市太古庄乡郭庄村","高古庄镇郭庄","13110010","2013-10-28 17:18:49","2013-10-28 17:18:49","中国银行","415","3660000.00","8819.277108"
"河北省衡水市冀州市西王镇水泊张村","西王镇水泊张村","13110011","2013-10-29 09:21:36","2013-10-29 09:21:36","中国银行","267","1620000.00","6067.415730"
"河北省衡水市冀州市门庄乡东堤北村","门庄乡东堤北村","13110012","2013-10-29 09:35:37","2013-10-29 09:35:37","中国银行","1807","31320000.00","17332.595462"
"河北省衡水市冀州市南午村镇孟岭村","南午村镇孟岭村","13110014","2013-10-29 10:21:31","2013-10-29 10:21:31","中国银行","498","4340000.00","8714.859438"
"河北省衡水市冀州市南午村镇田村","南午村镇田村","13110015","2013-10-29 10:45:50","2013-10-29 10:45:50","中国银行","472","6480000.00","13728.813559"
"河北省衡水市冀州市西王镇西吕津村","西王镇西吕津村","13110016","2013-10-29 11:01:44","2013-10-29 11:01:44","中国银行","1220","20190000.00","16549.180328"
"河北省衡水市枣强县马屯镇吉科村","马屯镇吉科村","13110017","2013-10-29 15:24:47","2013-10-29 15:24:47","中国银行","203","100000.00","492.610837"
"河北省衡水市饶阳县大尹村镇大迁民村","饶阳县大尹村镇大迁民庄","13110018","2013-10-29 16:32:53","2013-10-29 16:32:53","中国银行","496","7390000.00","14899.193548"
"河北省衡水市饶阳县大尹村镇南流满村","饶阳县大尹村镇南流满村","13110019","2013-10-29 16:50:49","2013-10-29 16:50:49","中国银行","283","1030000.00","3639.575972"
"河北省衡水市桃城区赵家圈镇前王家村","赵圈镇前王庄村","13110021","2013-10-30 10:05:17","2013-10-30 10:05:17","中国银行","336","5220000.00","15535.714286"
"河北省衡水市武邑县赵桥镇夹河村","赵桥镇夹河村","13110022","2013-10-30 10:22:47","2013-10-30 10:22:47","中国银行","302","2210000.00","7317.880795"
"河北省衡水市枣强县新屯乡西岳庄村","新屯镇西岳庄","13110023","2013-10-30 11:05:26","2013-10-30 11:05:26","中国银行","91","310000.00","3406.593407"
"河北省衡水市枣强县马屯镇张仓口村","肖张镇张仓口","13110024","2013-10-30 11:28:25","2013-10-30 11:28:25","中国银行","104","1400000.00","13461.538462"
"河北省衡水市枣强县嘉会镇马田村","嘉会镇马田村","13110025","2013-10-30 11:38:32","2013-10-30 11:38:32","中国银行","286","4830000.00","16888.111888"
"河北省衡水市武强县街关镇郑家村","武强县街关镇郑家村","13110030","2013-10-30 14:13:59","2013-10-30 14:13:59","中国银行","186","1720000.00","9247.311828"
"河北省衡水市安平县大何庄乡长汝村","大何庄乡长汝村","13110031","2013-10-30 14:44:06","2013-10-30 14:44:06","中国银行","618","4600000.00","7443.365696"
"河北省衡水市安平县南王庄镇南王庄村","南王庄镇南王庄村","13110032","2013-10-30 14:55:26","2013-10-30 14:55:26","中国银行","904","29220000.00","32323.008850"
"河北省衡水市武强县豆村乡南孙庄村","武强县豆村乡南孙庄村","13110033","2013-10-30 15:25:49","2013-10-30 15:25:49","中国银行","191","2800000.00","14659.685864"
"河北省衡水市武强县北代乡北平都村","武强县北代乡北平都村","13110034","2013-10-30 15:41:41","2013-10-30 15:41:41","中国银行","429","1260000.00","2937.062937"
"河北省衡水市武强县周家窝乡大段庄村","衡水武强县周窝镇大段庄村","13110035","2013-10-30 16:16:19","2013-10-30 16:16:19","中国银行","236","1440000.00","6101.694915"
"河北省衡水市武强县豆村乡大杨庄村","衡水武强县豆村乡大杨庄村","13110036","2013-10-30 16:50:59","2013-10-30 16:50:59","中国银行","306","1980000.00","6470.588235"
"河北省衡水市武强县孙庄乡张法台村","衡水武强县孙庄乡张法台村","13110037","2013-10-30 18:10:16","2013-10-30 18:10:16","中国银行","388","3190000.00","8221.649485"
"河北省衡水市武强县孙庄乡西王庄村","衡水武强县孙庄乡西王庄村","13110038","2013-10-31 09:04:40","2013-10-31 09:04:40","中国银行","763","1270000.00","1664.482307"
"河北省石家庄市鹿泉市李村镇北许营村","鹿泉区李村镇北许营村","13010001","2013-05-01 00:00:00","2013-11-01 08:39:08","中国银行","446","53980000.00","121031.390135"
"河北省衡水市阜城县古城镇柳树高村","阜城县古城镇柳树高村","13110044","2013-11-01 10:30:32","2013-11-01 10:30:32","中国银行","90","2280000.00","25333.333333"
"河北省衡水市阜城县阜城镇八里屯村","衡水阜城八里屯","13110054","2013-11-01 17:11:52","2013-11-01 17:11:52","中国银行","735","7190000.00","9782.312925"
"河北省衡水市枣强县枣强镇范庄村","枣强县枣强镇范庄村","13110057","2013-11-04 09:44:54","2013-11-04 09:44:54","中国银行","2","250000.00","125000.000000"
"河北省衡水市枣强县肖张镇后河西村","肖张镇后河村","13110064","2013-11-04 14:37:15","2013-11-04 14:37:15","中国银行","314","240000.00","764.331210"
"河北省衡水市枣强县马屯镇史家屯村","马屯镇史屯村","13110329","2015-01-08 14:16:49","2015-01-08 14:16:49","中国银行","288","2010000.00","6979.166667"
"河北省衡水市饶阳县留楚乡西段村","饶阳县留楚乡西段村","13110073","2013-11-05 08:47:52","2013-11-05 08:47:52","中国银行","1274","5420000.00","4254.317111"
"河北省衡水市饶阳县大官亭乡段庄村","饶阳县官亭镇段庄村","13110075","2013-11-05 14:13:11","2013-11-05 14:13:11","中国银行","272","4300000.00","15808.823529"
