,站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签
31,河北省石家庄市鹿泉市李村镇北许营村,鹿泉区李村镇北许营村,13010001.0,600000439,2013/5/1 0:00,2013/11/1 8:39,中国银行,448,54000000.0,120535.7143,北许营,500,2500,正式运营
89,河北省沧州市黄骅市港城开发区新村乡冯家堡村,沧州市渤海新区冯家堡村,13090028.0,600001062,2014/1/4 10:04,2014/1/4 10:04,中国银行,214,69700000.0,325700.9346,冯家堡村,1000,4000,正式运营
233,河北省石家庄市辛集市前营乡前魏家庄村,辛集市前营乡前位家庄村,13010017.0,600000455,2014/3/24 16:00,2014/3/24 16:00,中国银行,1143,93360000.0,81679.79003,前位家村,600,2538,正式运营
286,河北省石家庄市正定县新城铺镇小邯村,正定县新城铺镇小邯村,13010055.0,600000493,2014/4/8 0:00,2014/4/8 0:00,中国银行,731,52490000.0,71805.74555,小邯村,700,2700,正式运营
295,河北省沧州市黄骅市南排河镇歧口村,黄骅市南排河镇歧口村,13090116.0,600001084,2014/3/6 0:00,2014/4/17 0:00,中国银行,661,67870000.0,102677.761,歧口村,2600,8000,正式运营
431,河北省唐山市丰润区老庄子镇瓦房庄村,高新技术开发区老庄子镇瓦房庄村,13020030.0,600006888,2014/7/28 19:13,\N,中国银行,219,82680000.0,377534.2466,瓦房庄,1000,3100,正式运营
562,贵州省贵阳市息烽县小寨坝镇亲戚寨村,亲戚寨村,52010006.0,600001322,2014/9/1 10:36,2014/9/1 10:36,贵阳银行,1,21.04,21.04,亲戚寨村,420,1800,正式运营
564,河北省秦皇岛市抚宁县抚宁镇北街村,抚宁镇北街村,13030014.0,600000010,2014/9/1 0:00,2014/9/1 0:00,中国银行,653,106320000.0,162817.7642,抚宁镇北街村,300,1000,正式运营
696,河南省郑州市登封市白坪乡东白坪村,白坪助农点,41010001.0,600003737,2015/1/1 0:00,2015/1/1 0:00,中国银行,652,105465891.4,161757.5022,东白坪村,700,3000,正式运营
759,山东省烟台市莱山区黄海路街道中国煤炭经济学院社区,朱塂堡,37060005.0,600004213,2015/1/4 9:28,2015/1/4 9:28,中国银行,29,0.0,0,朱塂堡,600,2200,正式运营
923,山东省济宁市任城区柳行街道办事处皇桥村,济宁市高新区石桥镇助农服务点,37080017.0,600005229,2015/1/4 0:00,2015/1/4 0:00,中国银行,17,0.0,0,石桥村,5000,20000,正式运营
930,山东省济宁市任城区南张镇刘后村,济宁市任城区南张镇刘后村助农服务点,37080019.0,600005231,2015/1/4 0:00,2015/1/4 0:00,中国银行,92,8.66,0.09413,刘后村,900,4000,正式运营
