,站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签
34,河北省衡水市枣强县枣强镇范庄村,枣强县枣强镇范庄村,13110057.0,600000211,2013/11/4 0:00,2013/11/4 0:00,中国银行,2,250000.0,125000,枣强县枣强镇范庄村,260,1100,正式运营
42,河北省衡水市饶阳县大尹村镇大尹村,饶阳县大尹村镇大尹村,13110081.0,600000026,2013/11/6 16:36,2013/11/6 16:36,中国银行,2071,15470000.0,7469.821342,大尹村,1000,4000,正式运营
66,河北省沧州市盐山县圣佛镇西圣佛村,盐山县圣佛镇西圣佛村,13090002.0,600001056,2013/12/26 16:08,2013/12/26 16:08,中国银行,2224,9910000.0,4455.935252,西圣佛,300,1400,正式运营
81,河北省沧州市青县农场虚拟乡三分场虚拟村,青县国营农场第三分场,13090018.0,600007569,2014/1/2 13:51,2014/1/2 13:51,中国银行,2418,9460000.0,3912.324235,农场三分场,900,3000,正式运营
82,河北省沧州市青县清州镇罗家店村,青县清州镇罗家店村,13090019.0,600007570,2014/1/2 15:04,2014/1/2 15:04,中国银行,2597,8930000.0,3438.58298,罗家店,7500,3000,正式运营
83,河北省沧州市青县上伍乡欧辛庄村,青县欧辛庄村,13090022.0,600007573,2014/1/4 0:00,2014/1/4 0:00,中国银行,2680,6190000.0,2309.701493,欧辛庄,500,2000,正式运营
84,河北省沧州市青县上伍乡清和庄村,青县上伍乡清和庄村,13090023.0,600007574,2014/1/4 0:00,2014/1/4 0:00,中国银行,3522,2200000.0,624.645088,清河庄村,406,1658,正式运营
85,河北省沧州市青县金牛镇觉道庄村,青县金牛镇觉道庄村,13090024.0,600007575,2014/1/4 0:00,2014/1/4 0:00,中国银行,3886,1270000.0,326.814205,觉道庄村,400,2300,正式运营
86,河北省沧州市青县木门店镇崇仙村,青县崇仙,13090025.0,600007576,2014/1/4 0:28,2014/1/4 0:28,中国银行,3262,3490000.0,1069.895769,崇仙村,560,2890,正式运营
90,河北省沧州市青县清州镇耿官屯村,青县清州镇耿官屯村,13090029.0,600007578,2014/1/4 0:00,2014/1/4 0:00,中国银行,4966,33440000.0,6733.78977,耿官屯,500,3000,正式运营
118,河北省沧州市青县上伍乡小许庄村,青县上伍乡小许庄村,13090037.0,600007581,2014/1/10 0:00,2014/1/10 0:00,中国银行,2464,1340000.0,543.831169,小许庄村,2700,600,正式运营
119,河北省沧州市青县清州镇泉流庄村,青县清州镇泉流庄村,13090038.0,600007582,2014/1/10 21:55,2014/1/10 21:55,中国银行,2384,10450000.0,4383.389262,泉流庄村,450,1600,正式运营
138,河北省沧州市青县清州镇刘缺屯村,青县清州镇刘缺屯村,13090051.0,600006845,2014/1/24 0:00,2014/1/24 0:00,中国银行,3928,4240000.0,1079.429735,刘缺屯村,600,2700,正式运营
150,河北省沧州市青县马厂镇王维屯村,青县马厂镇王维屯村,13090065.0,600007593,2014/1/25 20:19,2014/1/25 20:19,中国银行,3408,1280000.0,375.586854,王维官屯村,800,3000,正式运营
152,河北省沧州市青县马厂镇刘世印屯村,青县马厂镇刘世印屯,13090068.0,600007594,2014/1/26 0:06,2014/1/26 0:06,中国银行,4749,8740000.0,1840.38745,刘世印屯村,700,3200,正式运营
198,河北省沧州市青县陈嘴乡张二庄村,青县陈咀乡张二庄村,13090079.0,600007596,2014/3/6 0:00,2014/3/6 0:00,中国银行,2534,5640000.0,2225.730071,张二庄村,500,2500,正式运营
