,站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签
82,河北省沧州市青县清州镇罗家店村,青县清州镇罗家店村,13090019.0,600007570,2014/1/2 15:04,2014/1/2 15:04,中国银行,2597,8930000.0,3438.58298,罗家店,7500.0,3000.0,正式运营
348,河北省邯郸市魏县双井镇双南村,魏县双井镇董圈村,13040115.0,600000401,2014/5/18 9:36,2014/5/18 9:36,中国银行,233,520000.0,2231.759657,双井村,6000.0,40000.0,正式运营
379,河北省张家口市蔚县代王城镇代王城三村,代王城镇便民服务中心,13070041.0,600000907,2014/6/21 17:26,2014/6/21 17:26,中国银行,140,1770000.0,12642.85714,蔚县代王城镇,8000.0,26000.0,正式运营
483,河北省唐山市滦南县胡各庄镇侯各庄村,滦南县胡各庄镇,13020044.0,600006851,2014/8/11 11:48,2014/8/11 11:48,中国银行,10456,7320000.0,700.076511,胡各庄村,10000.0,30000.0,正式运营
501,甘肃省兰州市城关区青白石街道白道坪村,白道坪村   ,62010001.0,600001579,2014/8/15 20:27,2014/8/15 20:27,中国银行,109,668448.92,6132.558899,白道坪村,76.0,387.0,正式运营
545,河北省沧州市黄骅市黄骅镇冲寺口村,中捷产业园区南大港,13090155.0,600001761,2014/8/21 0:00,2014/8/21 0:00,中国银行,429,2260000.0,5268.065268,南大港管理区厂部,10000.0,60000.0,正式运营
563,贵州省贵阳市息烽县永靖镇铁路新村社区,九庄镇,52010007.0,600001323,2014/9/1 10:40,2014/9/1 10:40,贵阳银行,210,650000.0,3095.238095,九庄镇,6000.0,30000.0,正式运营
637,河北省沧州市河间市景和镇景和村,河间市景和镇景和村,13090174.0,600007641,2014/10/10 10:54,2014/10/10 10:54,中国银行,1858,14790000.0,7960.172228,景和村,8000.0,30000.0,正式运营
704,河南省信阳市市辖区东双河镇,东双河镇惠农支付服务点,41150003.0,600003685,2015/1/1 16:46,2015/1/1 16:46,中国银行,385,1089584.04,2830.088416,镇街,8000.0,60000.0,正式运营
707,河南省信阳市平桥区甘岸街道办事处二郎村,长台关乡惠农支付服务点,41150007.0,600003689,2015/1/1 17:22,2015/1/1 17:22,中国银行,99,694341.12,7013.546667,二郎村,6000.0,30000.0,正式运营
710,河南省信阳市固始县沙河铺乡沙河铺乡桥东,固始县沙河铺镇惠农支付服务点,41150012.0,600003694,2015/1/1 17:43,2015/1/1 17:43,中国银行,279,608300.17,2180.287348,沙河铺镇街,10000.0,30000.0,正式运营
711,河南省信阳市平桥区五里店镇五里,平桥区五里办事处惠农支付服务点,41150013.0,600003695,2015/1/1 17:46,2015/1/1 17:46,中国银行,290,861859.43,2971.929069,镇街,10000.0,60000.0,正式运营
742,河南省商丘市睢阳区娄店乡大孙庄村,商丘市睢阳区娄店乡集镇惠农支付服务点,41140038.0,600002651,2015/1/3 15:37,2015/1/3 15:37,中国银行,609,1415204.0,2323.816092,大孙庄村,6000.0,40000.0,正式运营
778,山东省临沂市平邑县铜石镇卓家庄村,临沂市平邑县铜石镇驻地助农服务点,37130004.0,600005016,2015/1/4 10:32,2015/1/4 10:32,中国银行,191,79491.89,416.187906,铜石镇驻地,10000.0,50000.0,正式运营
846,河南省商丘市宁陵县逻岗镇逻岗镇三丈寺村,民权支行宁陵县三丈寺镇惠农支付服务点,41140094.0,600007101,2015/1/4 12:04,2015/1/4 12:04,中国银行,933,2133583.5,2286.799035,三丈寺村,10000.0,55000.0,正式运营
853,山东省济宁市微山县韩庄镇半楼村,济宁市微山县开发区前鲍楼村,37080009.0,600005221,2015/1/4 0:00,2015/1/4 0:00,中国银行,312,855921.16,2743.337051,前鲍楼村,10000.0,40000.0,正式运营
858,山东省济宁市汶上县次丘镇三楼村,济宁市汶上县南旺镇开发区助农服务点,37080010.0,600005222,2015/1/4 0:00,2015/1/4 0:00,中国银行,219,447287.07,2042.406712,三村,10000.0,40000.0,正式运营
876,河南省南阳市邓州市张村镇张北社区居,邓州市张村镇张村街袁苗助农金融,41130006.0,600002705,2015/1/4 13:20,2015/1/4 13:20,中国银行,2013,5540799.83,2752.508609,张北社区居,10000.0,50000.0,正式运营
986,河南省南阳市邓州市林扒镇林扒社区居,邓州市林扒镇助农点,41130010.0,600002709,2015/1/4 15:05,2015/1/4 15:05,中国银行,561,1227482.52,2188.025882,林扒社区居,11000.0,60000.0,正式运营
1007,河南省南阳市邓州市汲滩镇汲滩社区居,邓州市汲滩镇助农金融,41130011.0,600002710,2015/1/4 15:15,2015/1/4 15:15,中国银行,442,670216.12,1516.326063,汲滩社区居,11000.0,50000.0,正式运营
1046,河南省南阳市邓州市腰店乡燕店村,邓州市腰店乡燕店村冯明雷助农金融,41130013.0,600002712,2015/1/4 15:39,2015/1/4 15:39,中国银行,1138,5961490.97,5238.568515,腰店镇燕店街,15000.0,60000.0,正式运营
1054,河南省商丘市虞城县镇里靳庄村,虞城县贾寨镇保卫村,41140188.0,600007192,2015/1/4 15:43,2015/1/4 15:43,中国银行,1768,1276324.36,721.902919,镇街村,12000.0,56000.0,正式运营
1056,河南省商丘市虞城县杜集镇北街村,虞城杜集乡惠农支付服务点,41140191.0,600007195,2014/12/7 0:00,2015/1/4 15:44,中国银行,2260,4288103.92,1897.391115,北街村,11000.0,55000.0,正式运营
1144,河南省商丘市永城市搓城镇搓东村,永城市酂城镇东街惠农支付服务点,41140252.0,600007253,2015/1/4 17:08,2015/1/4 17:08,中国银行,222,10981.67,49.466982,酂东村,12000.0,50000.0,正式运营
1242,山东省青岛市即墨市通济街道办事处西元庄村,青岛即墨通济办事处镇西元庄村服务点,37020150.0,600004112,2015/1/4 20:27,2015/1/4 20:27,中国银行,0,3315600.0,\N,西元庄村,9000.0,30000.0,正式运营
1307,河南省商丘市睢阳区娄店乡娄店村,商丘市睢阳区娄店乡集镇惠农支付服务点,41140291.0,600007287,2015/1/5 9:41,2015/1/5 9:41,中国银行,864,2268735.21,2625.850938,娄店村,6000.0,40000.0,正式运营
1315,河南省商丘市永城市演集镇丰庄村,永城市演集镇丰庄未来城惠农支付服务点,41140315.0,600007310,2015/1/5 10:07,2015/1/5 10:07,中国银行,765,2139485.6,2796.713203,丰庄未来城村,10000.0,50000.0,正式运营
1345,河南省商丘市永城市搓城镇肖各村,永城市高庄镇幸福港湾惠农支付服务点,41140357.0,600007349,2015/1/5 10:44,2015/1/5 10:44,中国银行,48,5979.71,124.577292,幸福港湾村,15000.0,50000.0,正式运营
1382,河南省商丘市永城市顺和乡东街村,永城市顺和惠农支付服务点,41140389.0,600007381,2015/1/5 11:38,2015/1/5 11:38,中国银行,276,250115.43,906.215326,东街村,13000.0,52000.0,正式运营
1383,河南省南阳市宛城区红泥湾镇红泥湾村,红泥湾郭荣富,41130014.0,600002713,2015/1/5 11:40,2015/1/5 11:40,中国银行,223,148873.67,667.594933,红泥湾街,11000.0,60000.0,正式运营
1386,河南省商丘市虞城县大候乡营盘村,虞城县大侯乡营盘村李玉典惠农支付服务点,41140395.0,600007386,2015/1/5 11:47,2015/1/5 11:47,中国银行,732,2352090.46,3213.238333,营盘村,6000.0,12000.0,正式运营
1387,河南省商丘市永城市芒山镇马山村,永城市薛湖镇滦湖街惠农支付服务点,41140396.0,600007387,2014/11/30 0:00,2015/1/5 11:48,中国银行,404,1172114.85,2901.274381,滦湖街村,7000.0,25000.0,正式运营
1388,河南省商丘市宁陵县城郊乡城郊乡四门庄村,宁陵县逻岗乡惠农支付服务点,41140398.0,600003358,2015/1/16 0:00,2015/1/5 11:50,中国银行,623,866163.89,1390.31122,逻岗镇东街,10000.0,45000.0,正式运营
1456,河南省商丘市夏邑县郭店乡郭店村,夏邑郭店乡段庄村惠农支付服务点,41140461.0,600007447,2015/1/5 14:30,2015/1/5 14:30,中国银行,168,7841.27,46.674226,郭店村,10000.0,50000.0,正式运营
1463,河南省商丘市柘城县老王集乡西街村,柘城县胡襄镇侯庄助农服务取款点,41140479.0,600007464,2014/12/17 0:00,2015/1/5 14:45,中国银行,1312,3454380.26,2632.911784,西街,8000.0,45000.0,正式运营
1488,河南省商丘市柘城县胡襄镇西街村,柘城县起台镇北街村助农服务取款点,41140508.0,600007493,2015/1/5 15:36,2015/1/5 15:36,中国银行,377,123302.66,327.062759,起台镇西街村,8000.0,40000.0,正式运营
1522,河南省驻马店市西平县蔡寨回族乡冯老庄村,西平县宋集乡宋集街助农服务点,41170001.0,600003663,2015/1/5 16:32,2015/1/5 16:32,中国银行,737,296738.26,402.629932,西平县宋集乡街,7000.0,30000.0,正式运营
1529,河南省商丘市柘城县岗王乡岗王村,柘城县岗王乡岗王村助农服务取款点,41140550.0,600007533,2015/1/5 16:41,2015/1/5 16:41,中国银行,491,196555.18,400.316049,岗王镇岗王村,8000.0,40000.0,正式运营
1551,河南省商丘市夏邑县马头镇北刘楼村,夏邑县北岭镇刘园村惠农支付服务点,41140564.0,600007547,2014/11/16 0:00,2015/1/5 17:02,中国银行,744,4272372.59,5742.436277,北岭镇,11000.0,50000.0,正式运营
1556,河南省商丘市夏邑县车站镇车站村,夏邑县车站镇车站村惠农支付服务点,41140568.0,600007551,2015/1/5 17:09,2015/1/5 17:09,中国银行,523,1624010.8,3105.183174,车站村,12000.0,60000.0,正式运营
1643,河南省许昌市许昌县椹涧乡南头村,许昌县椹涧镇南头村,41100002.0,600003545,2015/1/5 21:42,2015/1/5 21:42,中国银行,371,643966.77,1735.759488,南头村,10000.0,40000.0,正式运营
1681,河南省商丘市柘城县胡襄镇南街村,柘城县胡襄南街村助农服务取款点,41140574.0,600007557,2015/1/6 9:50,2015/1/6 9:50,中国银行,945,205116.22,217.054201,南街三组,10000.0,55000.0,正式运营
1784,河南省南阳市新野县溧河铺镇溧河村,新野县溧河铺镇溧河街齐奥助农金融,41130017.0,600002714,2015/1/6 13:51,2015/1/6 13:51,中国银行,2100,16301073.63,7762.416014,溧河铺镇溧河村,9000.0,40000.0,正式运营
1786,山东省烟台市莱州市文峰路街道赵家村,烟台市莱州市朱桥镇张家助农服务点,37060268.0,600004452,2014/12/8 0:00,2015/1/6 13:53,中国银行,197,22075538.01,112058.5686,张家村,10000.0,35020.0,正式运营
1819,河北省石家庄市井陉县天长镇北关村,井陉天长镇北关,13010298.0,600000732,2015/1/6 15:05,2015/1/6 15:05,中国银行,795,3520000.0,4427.672956,北关村,10000.0,2000.0,正式运营
