,站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签
178,河北省邯郸市临漳县称勾集镇称西村, 临漳县称勾镇称勾集村,13040065.0,600001011,2014/2/19 19:15,2014/2/19 19:15,中国银行,1016,2250000.0,2214.566929,称西村,2000.0,40000.0,正式运营
348,河北省邯郸市魏县双井镇双南村,魏县双井镇董圈村,13040115.0,600000401,2014/5/18 9:36,2014/5/18 9:36,中国银行,233,520000.0,2231.759657,双井村,6000.0,40000.0,正式运营
378,河北省衡水市桃城区郑家河沿镇北沼村,桃城区郑家河沿镇北沼村,13110186.0,600000115,2014/6/20 18:46,2014/6/20 18:46,中国银行,114,750000.0,6578.947368,北沼村,1500.0,350.0,非正式运营
501,甘肃省兰州市城关区青白石街道白道坪村,白道坪村   ,62010001.0,600001579,2014/8/15 20:27,2014/8/15 20:27,中国银行,109,668448.92,6132.558899,白道坪村,76.0,387.0,正式运营
545,河北省沧州市黄骅市黄骅镇冲寺口村,中捷产业园区南大港,13090155.0,600001761,2014/8/21 0:00,2014/8/21 0:00,中国银行,429,2260000.0,5268.065268,南大港管理区厂部,10000.0,60000.0,正式运营
574,河北省沧州市青县曹寺乡厚召官村,青县曹寺镇厚召官,13090160.0,600001308,2014/9/2 16:09,2014/9/2 16:09,中国银行,2805,7520000.0,2680.926916,厚召官村,1300.0,300.0,正式运营
704,河南省信阳市市辖区东双河镇,东双河镇惠农支付服务点,41150003.0,600003685,2015/1/1 16:46,2015/1/1 16:46,中国银行,385,1089584.04,2830.088416,镇街,8000.0,60000.0,正式运营
711,河南省信阳市平桥区五里店镇五里,平桥区五里办事处惠农支付服务点,41150013.0,600003695,2015/1/1 17:46,2015/1/1 17:46,中国银行,290,861859.43,2971.929069,镇街,10000.0,60000.0,正式运营
729,河南省商丘市梁园区谢集镇王步口村,商丘市梁园区谢集镇张步口村袁瑞梅惠农支付服务点,41140019.0,600002634,2015/1/3 12:05,2015/1/3 12:05,中国银行,472,531982.36,1127.081271,张步口村,4500.0,300.0,正式运营
742,河南省商丘市睢阳区娄店乡大孙庄村,商丘市睢阳区娄店乡集镇惠农支付服务点,41140038.0,600002651,2015/1/3 15:37,2015/1/3 15:37,中国银行,609,1415204.0,2323.816092,大孙庄村,6000.0,40000.0,正式运营
766,山东省烟台市龙口市东江镇南智家村,烟台市龙口高新技术产业园区南智家助农服务点,37060013.0,600004220,2015/1/4 10:14,2015/1/4 10:14,中国银行,1,15694850.27,15694850.27,南智村,100.0,300.0,非正式运营
778,山东省临沂市平邑县铜石镇卓家庄村,临沂市平邑县铜石镇驻地助农服务点,37130004.0,600005016,2015/1/4 10:32,2015/1/4 10:32,中国银行,191,79491.89,416.187906,铜石镇驻地,10000.0,50000.0,正式运营
792,山东省烟台市福山区古现街道(烟台开发区)山吴家,山吴家村,37060028.0,600004235,2015/1/4 10:54,2015/1/4 10:54,中国银行,0,0.0,\N,山吴家村,80.0,300.0,无数据
846,河南省商丘市宁陵县逻岗镇逻岗镇三丈寺村,民权支行宁陵县三丈寺镇惠农支付服务点,41140094.0,600007101,2015/1/4 12:04,2015/1/4 12:04,中国银行,933,2133583.5,2286.799035,三丈寺村,10000.0,55000.0,正式运营
853,山东省济宁市微山县韩庄镇半楼村,济宁市微山县开发区前鲍楼村,37080009.0,600005221,2015/1/4 0:00,2015/1/4 0:00,中国银行,312,855921.16,2743.337051,前鲍楼村,10000.0,40000.0,正式运营
858,山东省济宁市汶上县次丘镇三楼村,济宁市汶上县南旺镇开发区助农服务点,37080010.0,600005222,2015/1/4 0:00,2015/1/4 0:00,中国银行,219,447287.07,2042.406712,三村,10000.0,40000.0,正式运营
876,河南省南阳市邓州市张村镇张北社区居,邓州市张村镇张村街袁苗助农金融,41130006.0,600002705,2015/1/4 13:20,2015/1/4 13:20,中国银行,2013,5540799.83,2752.508609,张北社区居,10000.0,50000.0,正式运营
986,河南省南阳市邓州市林扒镇林扒社区居,邓州市林扒镇助农点,41130010.0,600002709,2015/1/4 15:05,2015/1/4 15:05,中国银行,561,1227482.52,2188.025882,林扒社区居,11000.0,60000.0,正式运营
1007,河南省南阳市邓州市汲滩镇汲滩社区居,邓州市汲滩镇助农金融,41130011.0,600002710,2015/1/4 15:15,2015/1/4 15:15,中国银行,442,670216.12,1516.326063,汲滩社区居,11000.0,50000.0,正式运营
1028,河南省南阳市邓州市彭桥镇彭桥社区居,邓州市彭桥镇助农金融,41130012.0,600002711,2015/1/4 15:27,2015/1/4 15:27,中国银行,639,1804913.08,2824.59011,彭桥社区居,950.0,40000.0,正式运营
1046,河南省南阳市邓州市腰店乡燕店村,邓州市腰店乡燕店村冯明雷助农金融,41130013.0,600002712,2015/1/4 15:39,2015/1/4 15:39,中国银行,1138,5961490.97,5238.568515,腰店镇燕店街,15000.0,60000.0,正式运营
1054,河南省商丘市虞城县镇里靳庄村,虞城县贾寨镇保卫村,41140188.0,600007192,2015/1/4 15:43,2015/1/4 15:43,中国银行,1768,1276324.36,721.902919,镇街村,12000.0,56000.0,正式运营
1056,河南省商丘市虞城县杜集镇北街村,虞城杜集乡惠农支付服务点,41140191.0,600007195,2014/12/7 0:00,2015/1/4 15:44,中国银行,2260,4288103.92,1897.391115,北街村,11000.0,55000.0,正式运营
1144,河南省商丘市永城市搓城镇搓东村,永城市酂城镇东街惠农支付服务点,41140252.0,600007253,2015/1/4 17:08,2015/1/4 17:08,中国银行,222,10981.67,49.466982,酂东村,12000.0,50000.0,正式运营
1186,山东省烟台市莱州市郭家店镇郭家店村,莱州市郭家店镇街东助农服务点,37060117.0,600004311,2015/1/4 17:58,2015/1/4 17:58,中国银行,0,0.0,\N,郭家店村,10000.0,35000.0,无数据
1211,山东省青岛市即墨市移风店镇王家村,山东省即墨市田横镇王村,37020110.0,600004098,2015/1/4 18:36,2015/1/4 18:36,中国银行,0,0.0,\N,王村,20000.0,40000.0,无数据
1231,山东省烟台市牟平区大窑镇高家山村,高家塂村,37060124.0,600004317,2015/1/4 20:04,2015/1/4 20:04,中国银行,0,0.0,\N,高家塂村,100.0,300.0,无数据
1296,河南省商丘市永城市城厢乡李林村,永城市城厢乡李林村汉源社区朱建国助农金融,41140275.0,600007274,2015/1/5 9:12,2015/1/5 9:12,中国银行,1009,1780607.2,1764.724678,李林村,1700.0,50000.0,正式运营
1307,河南省商丘市睢阳区娄店乡娄店村,商丘市睢阳区娄店乡集镇惠农支付服务点,41140291.0,600007287,2015/1/5 9:41,2015/1/5 9:41,中国银行,864,2268735.21,2625.850938,娄店村,6000.0,40000.0,正式运营
1315,河南省商丘市永城市演集镇丰庄村,永城市演集镇丰庄未来城惠农支付服务点,41140315.0,600007310,2015/1/5 10:07,2015/1/5 10:07,中国银行,765,2139485.6,2796.713203,丰庄未来城村,10000.0,50000.0,正式运营
1345,河南省商丘市永城市搓城镇肖各村,永城市高庄镇幸福港湾惠农支付服务点,41140357.0,600007349,2015/1/5 10:44,2015/1/5 10:44,中国银行,48,5979.71,124.577292,幸福港湾村,15000.0,50000.0,正式运营
1382,河南省商丘市永城市顺和乡东街村,永城市顺和惠农支付服务点,41140389.0,600007381,2015/1/5 11:38,2015/1/5 11:38,中国银行,276,250115.43,906.215326,东街村,13000.0,52000.0,正式运营
1383,河南省南阳市宛城区红泥湾镇红泥湾村,红泥湾郭荣富,41130014.0,600002713,2015/1/5 11:40,2015/1/5 11:40,中国银行,223,148873.67,667.594933,红泥湾街,11000.0,60000.0,正式运营
