省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,衡水市冀州市南午村镇王家瓦窑村,南午村镇王瓦窑村,13110001,2013/10/22 14:13,2013/10/22 14:13,中国银行,624,9840000,15769.23077
河北省,衡水市深州市穆村乡王庄村,穆村乡王庄,13110002,2013/4/18 0:00,2013/10/22 16:53,中国银行,688,11970000,17398.25581
河北省,衡水市饶阳县东里满乡固店村,饶阳县东里满乡固店村,13110004,2013/10/28 14:15,2013/10/28 14:15,中国银行,574,5400000,9407.665505
河北省,衡水市饶阳县东里满乡小堤村,饶阳县东里满乡小堤村,13110005,2013/10/28 14:47,2013/10/28 14:47,中国银行,884,12220000,13823.52941
河北省,衡水市饶阳县东里满乡桑园村,饶阳县东里满乡桑园村,13110006,2013/10/28 15:15,2013/10/28 15:15,中国银行,403,4020000,9975.186104
河北省,衡水市饶阳县五公镇北官庄村,饶阳县五公镇北官庄村,13110007,2013/10/28 15:37,2013/10/28 15:37,中国银行,453,5550000,12251.65563
河北省,衡水市饶阳县大官亭乡西张岗村,饶阳县官亭镇西张岗村,13110008,2013/10/28 15:59,2013/10/28 15:59,中国银行,328,2570000,7835.365854
河北省,衡水市深州市唐奉镇赵八庄村,唐奉镇赵八庄,13110009,2013/10/28 16:57,2013/10/28 16:57,中国银行,1440,11660000,8097.222222
河北省,衡水市深州市太古庄乡郭庄村,高古庄镇郭庄,13110010,2013/10/28 17:18,2013/10/28 17:18,中国银行,415,3660000,8819.277108
河北省,衡水市冀州市西王镇水泊张村,西王镇水泊张村,13110011,2013/10/29 9:21,2013/10/29 9:21,中国银行,267,1620000,6067.41573
河北省,衡水市冀州市门庄乡东堤北村,门庄乡东堤北村,13110012,2013/10/29 9:35,2013/10/29 9:35,中国银行,1807,31320000,17332.59546
河北省,衡水市冀州市南午村镇孟岭村,南午村镇孟岭村,13110014,2013/10/29 10:21,2013/10/29 10:21,中国银行,498,4340000,8714.859438
河北省,衡水市冀州市南午村镇田村,南午村镇田村,13110015,2013/10/29 10:45,2013/10/29 10:45,中国银行,472,6480000,13728.81356
河北省,衡水市冀州市西王镇西吕津村,西王镇西吕津村,13110016,2013/10/29 11:01,2013/10/29 11:01,中国银行,1220,20190000,16549.18033
河北省,衡水市枣强县马屯镇吉科村,马屯镇吉科村,13110017,2013/10/29 15:24,2013/10/29 15:24,中国银行,203,100000,492.610837
河北省,衡水市饶阳县大尹村镇大迁民村,饶阳县大尹村镇大迁民庄,13110018,2013/10/29 16:32,2013/10/29 16:32,中国银行,496,7390000,14899.19355
河北省,衡水市饶阳县大尹村镇南流满村,饶阳县大尹村镇南流满村,13110019,2013/10/29 16:50,2013/10/29 16:50,中国银行,283,1030000,3639.575972
河北省,衡水市桃城区赵家圈镇前王家村,赵圈镇前王庄村,13110021,2013/10/30 10:05,2013/10/30 10:05,中国银行,336,5220000,15535.71429
河北省,衡水市武邑县赵桥镇夹河村,赵桥镇夹河村,13110022,2013/10/30 10:22,2013/10/30 10:22,中国银行,302,2210000,7317.880795
河北省,衡水市枣强县新屯乡西岳庄村,新屯镇西岳庄,13110023,2013/10/30 11:05,2013/10/30 11:05,中国银行,91,310000,3406.593407
河北省,衡水市枣强县马屯镇张仓口村,肖张镇张仓口,13110024,2013/10/30 11:28,2013/10/30 11:28,中国银行,104,1400000,13461.53846
河北省,衡水市枣强县嘉会镇马田村,嘉会镇马田村,13110025,2013/10/30 11:38,2013/10/30 11:38,中国银行,286,4830000,16888.11189
河北省,衡水市武强县街关镇郑家村,武强县街关镇郑家村,13110030,2013/10/30 14:13,2013/10/30 14:13,中国银行,186,1720000,9247.311828
河北省,衡水市安平县大何庄乡长汝村,大何庄乡长汝村,13110031,2013/10/30 14:44,2013/10/30 14:44,中国银行,618,4600000,7443.365696
河北省,衡水市安平县南王庄镇南王庄村,南王庄镇南王庄村,13110032,2013/10/30 14:55,2013/10/30 14:55,中国银行,904,29220000,32323.00885
河北省,衡水市武强县豆村乡南孙庄村,武强县豆村乡南孙庄村,13110033,2013/10/30 15:25,2013/10/30 15:25,中国银行,191,2800000,14659.68586
河北省,衡水市武强县北代乡北平都村,武强县北代乡北平都村,13110034,2013/10/30 15:41,2013/10/30 15:41,中国银行,429,1260000,2937.062937
河北省,衡水市武强县周家窝乡大段庄村,衡水武强县周窝镇大段庄村,13110035,2013/10/30 16:16,2013/10/30 16:16,中国银行,236,1440000,6101.694915
河北省,衡水市武强县豆村乡大杨庄村,衡水武强县豆村乡大杨庄村,13110036,2013/10/30 16:50,2013/10/30 16:50,中国银行,306,1980000,6470.588235
河北省,衡水市武强县孙庄乡张法台村,衡水武强县孙庄乡张法台村,13110037,2013/10/30 18:10,2013/10/30 18:10,中国银行,388,3190000,8221.649485
河北省,衡水市武强县孙庄乡西王庄村,衡水武强县孙庄乡西王庄村,13110038,2013/10/31 9:04,2013/10/31 9:04,中国银行,763,1270000,1664.482307
河北省,石家庄市鹿泉市李村镇北许营村,鹿泉区李村镇北许营村,13010001,2013/5/1 0:00,2013/11/1 8:39,中国银行,446,53980000,121031.3901
河北省,衡水市阜城县古城镇柳树高村,阜城县古城镇柳树高村,13110044,2013/11/1 10:30,2013/11/1 10:30,中国银行,90,2280000,25333.33333
河北省,衡水市阜城县阜城镇八里屯村,衡水阜城八里屯,13110054,2013/11/1 17:11,2013/11/1 17:11,中国银行,735,7190000,9782.312925
