,省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均,开业时间2,签约时间2,存款数2
0,河北省,衡水市冀州市南午村镇王瓦窑,南午村镇王瓦窑村,13110001,2013-10-22 14:13:00,2013-07-06 00:00:00,中国银行,629,10090000.0,16041.33545,1137,1028,1009.0
1,河北省,衡水市深州市穆村乡王庄村,穆村乡王庄,13110002,2013-10-22 16:53:00,2013-04-18 00:00:00,中国银行,689,12070000.0,17518.14224,1216,1028,1207.0
2,河北省,衡水市饶阳县东里满乡固店,饶阳县东里满乡固店村,13110004,2013-10-28 14:15:00,2013-09-17 00:00:00,中国银行,574,5600000.0,9756.097561,1064,1022,560.0
3,河北省,衡水市饶阳县东里满乡小堤村,饶阳县东里满乡小堤村,13110005,2013-10-28 14:47:00,,中国银行,889,12260000.0,13790.77615,-9223372036854775808,1022,1226.0
4,河北省,衡水市饶阳县东里满乡桑园,饶阳县东里满乡桑园村,13110006,2013-10-28 15:15:00,2013-07-14 00:00:00,中国银行,403,4140000.0,10272.95285,1129,1022,414.0
5,河北省,衡水市饶阳县五公镇北官庄村,饶阳县五公镇北官庄村,13110007,2013-10-28 15:37:00,2013-08-26 00:00:00,中国银行,467,6330000.0,13554.60385,1086,1022,633.0
6,河北省,衡水市饶阳县大官亭乡西张岗,饶阳县官亭镇西张岗村,13110008,2013-10-28 15:59:00,2013-07-17 00:00:00,中国银行,328,2610000.0,7957.317073,1126,1022,261.0
7,河北省,衡水市深州市唐奉镇赵八庄村,唐奉镇赵八庄,13110009,2013-10-28 16:57:00,,中国银行,1445,15300000.0,10588.23529,-9223372036854775808,1022,1530.0
8,河北省,衡水市深州市太古庄乡郭庄村,高古庄镇郭庄,13110010,2013-10-28 17:18:00,2013-05-15 00:00:00,中国银行,415,3340000.0,8048.192771,1189,1022,334.0
9,河北省,衡水市冀州市西王镇水泊张,西王镇水泊张村,13110011,2013-10-29 09:21:00,2013-08-28 00:00:00,中国银行,268,1600000.0,5970.149254,1084,1021,160.0
10,河北省,衡水市冀州市门庄乡东堤北村,门庄乡东堤北村,13110012,2013-10-29 09:35:00,2013-06-05 00:00:00,中国银行,1827,31340000.0,17153.80405,1168,1021,3134.0
11,河北省,衡水市冀州市南午村镇孟岭,南午村镇孟岭村,13110014,2013-10-29 10:21:00,2013-08-27 00:00:00,中国银行,497,4690000.0,9436.619718,1085,1021,469.0
12,河北省,衡水市冀州市南午村镇田村,南午村镇田村,13110015,2013-10-29 10:45:00,2013-08-24 00:00:00,中国银行,474,6660000.0,14050.63291,1088,1021,666.0
13,河北省,衡水市冀州市西王镇西吕津,西王镇西吕津村,13110016,2013-10-29 11:01:00,2013-09-03 00:00:00,中国银行,1234,20490000.0,16604.53809,1078,1021,2049.0
14,河北省,衡水市枣强县马屯镇吉科村,马屯镇吉科村,13110017,2013-10-29 15:24:00,2013-09-18 00:00:00,中国银行,203,100000.0,492.610837,1063,1021,10.0
15,河北省,衡水市饶阳县大尹村镇大迁民,饶阳县大尹村镇大迁民庄,13110018,2013-10-29 16:32:00,2013-09-13 00:00:00,中国银行,496,7900000.0,15927.41936,1068,1021,790.0
16,河北省,衡水市饶阳县大尹村镇南流满村,饶阳县大尹村镇南流满村,13110019,2013-10-29 16:50:00,,中国银行,283,840000.0,2968.19788,-9223372036854775808,1021,84.0
17,河北省,衡水市桃城区赵家圈镇前王家村,赵圈镇前王庄村,13110021,2013-10-30 10:05:00,,中国银行,336,6060000.0,18035.71429,-9223372036854775808,1020,606.0
18,河北省,衡水市武邑县赵桥镇夹河村,赵桥镇夹河村,13110022,2013-10-30 10:22:00,,中国银行,302,2070000.0,6854.304636,-9223372036854775808,1020,207.0
19,河北省,衡水市枣强县新屯乡新屯镇西岳庄,新屯镇西岳庄,13110023,2013-10-30 11:05:00,,中国银行,91,340000.0,3736.263736,-9223372036854775808,1020,34.0
20,河北省,衡水市枣强县马屯镇肖张镇张仓口,肖张镇张仓口,13110024,2013-10-30 11:28:00,2013-12-26 00:00:00,中国银行,104,1380000.0,13269.23077,964,1020,138.0
21,河北省,衡水市枣强县嘉会镇嘉会镇马田村,嘉会镇马田村,13110025,2013-10-30 11:38:00,2013-10-08 00:00:00,中国银行,286,5460000.0,19090.90909,1043,1020,546.0
22,河北省,衡水市武强县街关镇郑家,武强县街关镇郑家村,13110030,2013-10-30 14:13:00,2014-01-23 00:00:00,中国银行,186,1690000.0,9086.021505,936,1020,169.0
23,河北省,衡水市安平县大何庄乡长汝,大何庄乡长汝村,13110031,2013-10-30 14:44:00,,中国银行,618,4760000.0,7702.265372,-9223372036854775808,1020,476.0
24,河北省,衡水市安平县南王庄镇南王庄,南王庄镇南王庄村,13110032,2013-10-30 14:55:00,2013-11-26 00:00:00,中国银行,907,19550000.0,21554.57552,994,1020,1955.0
25,河北省,衡水市武强县豆村乡南孙庄,武强县豆村乡南孙庄村,13110033,2013-10-30 15:25:00,,中国银行,191,2850000.0,14921.46597,-9223372036854775808,1020,285.0
26,河北省,衡水市武强县北代乡北平都,武强县北代乡北平都村,13110034,2013-10-30 15:41:00,2014-01-28 00:00:00,中国银行,429,1250000.0,2913.752914,931,1020,125.0
27,河北省,衡水市武强县周家窝乡大段庄村,衡水武强县周窝镇大段庄村,13110035,2013-10-30 16:16:00,2014-01-24 00:00:00,中国银行,236,1500000.0,6355.932203,935,1020,150.0
28,河北省,衡水市武强县豆村乡大杨庄村,衡水武强县豆村乡大杨庄村,13110036,2013-10-30 16:50:00,2014-01-26 00:00:00,中国银行,306,2050000.0,6699.346405,933,1020,205.0
29,河北省,衡水市武强县孙庄乡张法台村,衡水武强县孙庄乡张法台村,13110037,2013-10-30 18:10:00,2014-01-20 00:00:00,中国银行,388,3170000.0,8170.103093,939,1020,317.0
30,河北省,衡水市武强县孙庄乡西王庄,衡水武强县孙庄乡西王庄村,13110038,2013-10-31 09:04:00,2014-01-28 00:00:00,中国银行,763,1230000.0,1612.057667,931,1019,123.0
31,河北省,石家庄市鹿泉市李村镇北许营,鹿泉区李村镇北许营村,13010001,2013-11-01 08:39:00,2013-05-01 00:00:00,中国银行,448,54000000.0,120535.7143,1203,1018,5400.0
32,河北省,衡水市阜城县古城镇柳树高,阜城县古城镇柳树高村,13110044,2013-11-01 00:00:00,,中国银行,90,2470000.0,27444.44444,-9223372036854775808,1019,247.0
33,河北省,衡水市阜城县阜城镇八里屯,衡水阜城八里屯,13110054,2013-11-01 00:00:00,,中国银行,735,7380000.0,10040.81633,-9223372036854775808,1019,738.0
