站点地址,站点名称,站点编号,NODE_PARTY_ID,站点加盟日期,银行业务签约日期,签约银行,站点卡数,站点余额,卡均余额,村名,户数,总人口数,标签
河北省衡水市冀州市南午村镇王家瓦窑村,南午村镇王瓦窑村,13110001,600002162,2013/10/22 14:13,2013/10/22 14:13,中国银行,629,10090000,16041.33545,王瓦窑,400,1800,正式运营
河北省衡水市深州市穆村乡王庄村,穆村乡王庄,13110002,600007564,2013/4/18 0:00,2013/10/22 16:53,中国银行,689,12070000,17518.14224,王庄村,600,3000,正式运营
河北省衡水市饶阳县东里满乡固店村,饶阳县东里满乡固店村,13110004,600000013,2013/10/28 14:15,2013/10/28 14:15,中国银行,574,5600000,9756.097561,固店,630,2200,正式运营
河北省衡水市饶阳县东里满乡小堤村,饶阳县东里满乡小堤村,13110005,600000014,2013/10/28 14:47,2013/10/28 14:47,中国银行,889,12260000,13790.77615,小堤村,1000,4000,正式运营
河北省衡水市饶阳县东里满乡桑园村,饶阳县东里满乡桑园村,13110006,600000015,2013/10/28 15:15,2013/10/28 15:15,中国银行,403,4140000,10272.95285,桑园,830,3000,正式运营
河北省衡水市饶阳县五公镇北官庄村,饶阳县五公镇北官庄村,13110007,600000016,2013/10/28 15:37,2013/10/28 15:37,中国银行,467,6330000,13554.60385,北官庄村,650,3000,正式运营
河北省衡水市饶阳县大官亭乡西张岗村,饶阳县官亭镇西张岗村,13110008,600000017,2013/10/28 15:59,2013/10/28 15:59,中国银行,328,2610000,7957.317073,西张岗,450,1900,正式运营
河北省衡水市深州市唐奉镇赵八庄村,唐奉镇赵八庄,13110009,600000073,2013/10/28 16:57,2013/10/28 16:57,中国银行,1445,15300000,10588.23529,赵八庄村,600,2500,正式运营
河北省衡水市深州市太古庄乡郭庄村,高古庄镇郭庄,13110010,600000074,2013/10/28 17:18,2013/10/28 17:18,中国银行,415,3340000,8048.192771,郭庄村,300,1200,正式运营
河北省衡水市冀州市西王镇水泊张村,西王镇水泊张村,13110011,600002163,2013/10/29 9:21,2013/10/29 9:21,中国银行,268,1600000,5970.149254,水泊张,300,1000,正式运营
河北省衡水市冀州市门庄乡东堤北村,门庄乡东堤北村,13110012,600002164,2013/10/29 9:35,2013/10/29 9:35,中国银行,1827,31340000,17153.80405,东堤北村,700,3000,正式运营
河北省衡水市冀州市南午村镇孟岭村,南午村镇孟岭村,13110014,600002166,2013/10/29 10:21,2013/10/29 10:21,中国银行,497,4690000,9436.619718,孟岭,500,2000,正式运营
河北省衡水市冀州市南午村镇田村,南午村镇田村,13110015,600002167,2013/10/29 10:45,2013/10/29 10:45,中国银行,474,6660000,14050.63291,田村,450,1800,正式运营
河北省衡水市冀州市西王镇西吕津村,西王镇西吕津村,13110016,600002168,2013/10/29 11:01,2013/10/29 11:01,中国银行,1234,20490000,16604.53809,西吕津,700,3700,正式运营
河北省衡水市枣强县马屯镇吉科村,马屯镇吉科村,13110017,600000205,2013/10/29 15:24,2013/10/29 15:24,中国银行,203,100000,492.610837,吉科村,240,1000,正式运营
河北省衡水市饶阳县大尹村镇大迁民村,饶阳县大尹村镇大迁民庄,13110018,600000018,2013/10/29 16:32,2013/10/29 16:32,中国银行,496,7900000,15927.41936,大迁民,600,3000,正式运营
河北省衡水市饶阳县大尹村镇南流满村,饶阳县大尹村镇南流满村,13110019,600000019,2013/10/29 16:50,2013/10/29 16:50,中国银行,283,840000,2968.19788,南流满村,200,900,正式运营
河北省衡水市桃城区赵家圈镇前王家村,赵圈镇前王庄村,13110021,600000098,2013/10/30 10:05,2013/10/30 10:05,中国银行,336,6060000,18035.71429,前王家村,200,700,正式运营
河北省衡水市武邑县赵桥镇夹河村,赵桥镇夹河村,13110022,600000099,2013/10/30 10:22,2013/10/30 10:22,中国银行,302,2070000,6854.304636,夹河村,570,2300,正式运营
河北省衡水市枣强县新屯乡西岳庄村,新屯镇西岳庄,13110023,600000206,2013/10/30 11:05,2013/10/30 11:05,中国银行,91,340000,3736.263736,新屯镇西岳庄,308,1100,正式运营
河北省衡水市枣强县马屯镇张仓口村,肖张镇张仓口,13110024,600000207,2013/10/30 11:28,2013/10/30 11:28,中国银行,104,1380000,13269.23077,肖张镇张仓口,400,1400,正式运营
河北省衡水市枣强县嘉会镇马田村,嘉会镇马田村,13110025,600000208,2013/10/30 11:38,2013/10/30 11:38,中国银行,286,5460000,19090.90909,嘉会镇马田村,400,1600,正式运营
河北省衡水市武强县街关镇郑家村,武强县街关镇郑家村,13110030,600000171,2013/10/30 14:13,2013/10/30 14:13,中国银行,186,1690000,9086.021505,郑家,160,700,正式运营
河北省衡水市安平县大何庄乡长汝村,大何庄乡长汝村,13110031,600000020,2013/10/30 14:44,2013/10/30 14:44,中国银行,618,4760000,7702.265372,长汝,1000,3800,正式运营
河北省衡水市安平县南王庄镇南王庄村,南王庄镇南王庄村,13110032,600000021,2013/10/30 14:55,2013/10/30 14:55,中国银行,907,19550000,21554.57552,南王庄,1300,4300,正式运营
